country,geo,nuts_2,gdp_per_cap,pop,weighted_avg_gdp_per_cap
AL,AL01,Veri,0.003624287960380687,818526.3333333334,0.004505064283731282
AL,AL02,Qender,0.005472904117563835,1157351.0,0.004505064283731282
AL,AL03,Jug,0.004054492270013351,885966.6666666666,0.004505064283731282
AT,AT11,Burgenland,0.0307581769438948,293180.75,0.04370705853451434
AT,AT12,Niederösterreich,0.03633647445497383,1672299.25,0.04370705853451434
AT,AT13,Wien,0.05168056564576378,1881893.125,0.04370705853451434
AT,AT21,Kärnten,0.03737337006573868,561116.5,0.04370705853451434
AT,AT22,Steiermark,0.039630888598505706,1240067.5,0.04370705853451434
AT,AT31,Oberösterreich,0.044824284391888757,1475367.75,0.04370705853451434
AT,AT32,Salzburg,0.051925698704686545,552897.375,0.04370705853451434
AT,AT33,Tirol,0.04583449912792187,750225.5,0.04370705853451434
AT,AT34,Vorarlberg,0.048649344572749206,391947.375,0.04370705853451434
BE,BE10,Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,0.07051492168502507,1210451.375,0.04098654309041133
BE,BE21,Prov. Antwerpen,0.04863420876414998,1854732.0,0.04098654309041133
BE,BE22,Prov. Limburg (BE),0.033355526436453065,874917.25,0.04098654309041133
BE,BE23,Prov. Oost-Vlaanderen,0.03784594547695846,1511870.25,0.04098654309041133
BE,BE24,Prov. Vlaams-Brabant,0.04469135487345012,1143329.375,0.04098654309041133
BE,BE25,Prov. West-Vlaanderen,0.03985376674516813,1195163.25,0.04098654309041133
BE,BE31,Prov. Brabant Wallon,0.050450382985125095,402917.5,0.04098654309041133
BE,BE32,Prov. Hainaut,0.025572002722973906,1345720.125,0.04098654309041133
BE,BE33,Prov. Liège,0.029078353156843505,1108778.125,0.04098654309041133
BE,BE34,Prov. Luxembourg (BE),0.025119099917530592,286945.75,0.04098654309041133
BE,BE35,Prov. Namur,0.027492529039746846,496307.0,0.04098654309041133
BG,BG31,Северозападен,0.005499813055032569,750004.5,0.008621662027348303
BG,BG32,Северен централен,0.005820842929955421,789340.75,0.008621662027348303
BG,BG33,Североизточен,0.006701515528809416,932123.125,0.008621662027348303
BG,BG34,Югоизточен,0.0070567110807039715,1035426.0,0.008621662027348303
BG,BG41,Югозападен,0.014169749239307809,2102803.875,0.008621662027348303
BG,BG42,Южен централен,0.00600789286277579,1417161.875,0.008621662027348303
CH,CH01,Région lémanique,0.07255160114636916,1624962.142857143,0.07521534848857363
CH,CH02,Espace Mittelland,0.0678946311125358,1865196.5714285714,0.07521534848857363
CH,CH03,Nordwestschweiz,0.07993016131818234,1150570.5714285714,0.07521534848857363
CH,CH04,Zürich,0.09094963795084379,1502679.857142857,0.07521534848857363
CH,CH05,Ostschweiz,0.06587043330665195,1169043.142857143,0.07521534848857363
CH,CH06,Zentralschweiz,0.0736387473464599,805136.1428571428,0.07521534848857363
CH,CH07,Ticino,0.07836231863264095,352316.14285714284,0.07521534848857363
CY,CY00,Κύπρος,0.02528740241914778,872372.625,0.02528740241914778
CZ,CZ01,Praha,0.045576798377789655,1283659.625,0.020182310138821827
CZ,CZ02,Střední Čechy,0.01794902132518207,1355979.625,0.020182310138821827
CZ,CZ03,Jihozápad,0.016965989442278624,1219327.125,0.020182310138821827
CZ,CZ04,Severozápad,0.013860330139763188,1109854.875,0.020182310138821827
CZ,CZ05,Severovýchod,0.016401310855516285,1506972.25,0.020182310138821827
CZ,CZ06,Jihovýchod,0.01830189542195973,1689961.375,0.020182310138821827
CZ,CZ07,Střední Morava,0.016280138805690902,1212277.125,0.020182310138821827
CZ,CZ08,Moravskoslezsko,0.01599991686674241,1201502.375,0.020182310138821827
DE,DE11,Stuttgart,0.05274385092401098,4112808.875,0.04106191136363101
DE,DE12,Karlsruhe,0.04500792089945451,2786800.75,0.04106191136363101
DE,DE13,Freiburg,0.03912155896352391,2251058.125,0.04106191136363101
DE,DE14,Tübingen,0.044495587475951316,1845481.25,0.04106191136363101
DE,DE21,Oberbayern,0.05980128795275169,4654720.875,0.04106191136363101
DE,DE22,Niederbayern,0.0403638533322076,1230289.0,0.04106191136363101
DE,DE23,Oberpfalz,0.04325900187056389,1103533.0,0.04106191136363101
DE,DE24,Oberfranken,0.03865319736518081,1062676.75,0.04106191136363101
DE,DE25,Mittelfranken,0.045645428902019586,1757750.0,0.04106191136363101
DE,DE26,Unterfranken,0.04119687024403139,1312530.5,0.04106191136363101
DE,DE27,Schwaben,0.04035160024321237,1876208.25,0.04106191136363101
DE,DE30,Berlin,0.041866860563334135,3604260.25,0.04106191136363101
DE,DE40,Brandenburg,0.02979781548185103,2505516.875,0.04106191136363101
DE,DE50,Bremen,0.04924267352138748,676742.875,0.04106191136363101
DE,DE60,Hamburg,0.06681079120169767,1823258.25,0.04106191136363101
DE,DE71,Darmstadt,0.052256983684980676,3973417.25,0.04106191136363101
DE,DE72,Gießen,0.03492142621832608,1044246.75,0.04106191136363101
DE,DE73,Kassel,0.03694997018860677,1215894.75,0.04106191136363101
DE,DE80,Mecklenburg-Vorpommern,0.02853278153563811,1609130.0,0.04106191136363101
DE,DE91,Braunschweig,0.04771713919608725,1592823.375,0.04106191136363101
DE,DE92,Hannover,0.038965192694953826,2140050.625,0.04106191136363101
DE,DE93,Lüneburg,0.028755207033084557,1708682.5,0.04106191136363101
DE,DE94,Weser-Ems,0.03615999841203486,2516981.75,0.04106191136363101
DE,DEA1,Düsseldorf,0.04200700562184769,5184883.75,0.04106191136363101
DE,DEA2,Köln,0.0431096670300452,4446747.0,0.04106191136363101
